170;Gheorghe Constantin;M
171;William Gaehler;M
172;Khumiso Stephen Ikgopoleng;M
173;Louis Bosman Raymond;M
174;Mari Nakaga;F
175;Piotr Buciarski;M
176;Majbritt Hjortshj;F
177;Tibor Gonczol;M
178;Harry L. Weston;M
179;"Ana Beatriz ""Bia"" di Rienzo Bulco";F
180;Jean Hunter McDowall (-Burnett);F
181;Dieter Freise;M
182;Harold Clarke;M
183;Menelaos Ponireas;M
184;Ivan urkovi;M
185;Hans Ettlin;M
186;Dertnio Ferrer;M
187;Gza Molnr;M
188;Rayna Atanasova;F
189;Christian Kreienbhl;M
190;"Marinus Apolonia ""Rinus"" Bennaars";M
191;"William Noe ""Bill"" Graber";M
192;Ashleigh Jade Brennan;F
193;Soma Biswas;F
194;Carlton Chambers;M
195;Denis Yevgenyevich Petrashov;M
196;Vladimir Andreyevich Chendarov;M
197;Federico Antonio Mariscal Abascal;M
198;Charif Damage;M
199;Norman Brinkworth;M
200;Colin John Davidson;M
201;Choi Yeong-Rae;M
202;Ena Guevara Mora (-Weinstein);F
203;Nils Peter Ejner Bech;M
204;Fritz Trautmann;M
205;Luis Alberto Sosa;M
206;Seeb Chundakowsolya;M
207;Adauto Donizete Domingues;M
208;Hans-Joachim Mars;M
209;Hassan Masallam;M
210;"Alida Geertruida Maria ""Anita"" Meiland";F
211;Beals Coleman Wright;M
212;Lars Erik Hindmar (Karlsson-);M
213;Trevor Michael Brown;M
214;"Qi ""Kevin"" Han";M
215;Ciara Everard;F
216;Michele Janine Eray;F
217;"Robert ""Bob"" Robinson";M
218;Jethro Dionisio;M
219;Bla Grdos (-Guttmann);M
220;Masahiro Yoshimura;M
221;Kim Kyong-Jin;M
222;Sigurd Wathne;M
223;Julio Alberto Sobrera Fernndez;M
224;Christian Sittler;M
225;Herv Dubuisson;M
226;"Randall Scott ""Randy"" Lewis";M
227;Rohullah Nikpai;M
228;Mauricio Alvarado;M
229;Bernard Ban;M
230;Jenny Lyvette Arthur;F
231;Stefan Fegerl;M
232;Georg Hermann Meyer;M
233;Cees Willem Lagrand;M
234;Josef Jabor;M
235;Yemane Haileselassie;M
236;Areti Athanasopoulou;F
237;"Timothy ""Tim"" Bethune";M
238;Oksana Vasylivna Herhel;F
239;Michel Jules Lodewijk Knuysen;M
240;Paula Kania;F
241;Unni Elisabeth Holmen (-Berge-);F
242;Lisa Graf;F
243;Karl Fredrik Leonard Lund;M
244;Thorleif Steinar Andresen;M
245;Asya Anastasova;F
246;Pekka Sarkari Narko;M
247;I. Couturier;M
248;Hu In-Jeong;M
249;Earl Haley;M
250;Masaki Oya;M
251;Helle Aro (Saadlo-);F
252;Pavel Olegovich Kostromin;M
253;Michael Marton;M
254;Mark Webster Chatfield;M
255;Lucian Maxinianu;M
256;Aleksandr Tikhonovich Fomchenko;M
257;William Edwin de Jesus Avila Salas;M
258;Jennifer Parlevliet;F
259;Atif Bashir;M
260;Giovanni Roberto Forni;M
261;Arthur John Jones;M
262;Pavel Bur;M
263;Erika Dobroviov-Burinov;F
264;Nemesio Guillermo Porras Lpez;M
265;Aage Ernst Larsen;M
