19509;24520;1956;29;;
19510;43718;1936;36;;
19511;91060;1952;28;;
19512;21634;1928;49;;
19513;52614;1920;30;;
19514;1536;1936;25;;
19515;49290;1956;0;;
19516;80089;1928;25;;
19517;27041;1992;21;;
19518;7723;1912;19;;
19519;25466;1936;28;;
19520;5257;1920;32;;
19521;66811;1996;21;;
19522;15725;1952;23;;
19523;50765;1912;0;;
19524;88191;1920;27;;
19525;81424;1936;22;;
19526;57922;1996;21;;
19527;9579;1936;30;;
19528;97976;1932;19;;
19529;57661;1928;29;;
19530;99709;1932;24;;
19531;35092;1952;20;;
19532;64046;1924;19;;
19533;18876;1908;28;;
19534;12984;1996;22;;
19535;79752;1904;25;;
19536;74627;1936;22;;
19537;28881;1908;25;;
19538;92803;1928;22;;
19539;27495;1920;28;;
19540;86550;1936;20;;
19541;33399;1928;36;;
19542;26217;1904;18;;
19543;60111;1912;23;;
19544;100242;1960;29;;
19545;38374;1924;0;;
19546;37048;1912;22;;
19547;65328;1920;37;;
19548;12948;1948;30;;
19549;86038;1912;24;;
19550;28099;1912;26;;
19551;14178;1920;0;;
19552;20967;1912;28;;
19553;11135;1912;31;;
19554;66989;1928;23;;
19555;49640;1920;28;;
19556;48305;1996;32;;
19557;87652;1988;18;;
19558;79985;1948;34;;
19559;41321;1924;23;;
19560;83843;1956;32;;
19561;88706;1912;32;;
19562;84975;1936;22;;
19563;73855;1912;22;;
19564;38771;1936;25;;
19565;62626;1952;34;;
19566;9684;1948;28;;
19567;15118;1952;45;;
19568;19007;1904;30;;
19569;21220;1952;44;;
19570;100083;1952;31;;
19571;37434;1936;21;;
19572;66100;1952;22;;
19573;34968;1912;56;;
19574;48572;1912;29;;
19575;33914;1956;0;;
19576;34140;1904;23;;
19577;63493;1908;27;;
19578;68909;1956;0;;
19579;68177;1956;28;;
19580;18478;1912;37;;
19581;42817;1956;23;;
19582;56505;1924;28;;
19583;48668;1920;22;;
19584;92184;1912;22;;
19585;47164;1920;31;;
19586;83292;1936;23;;
19587;46800;1948;0;;
19588;32560;1936;27;;
19589;77363;1908;0;;
19590;84913;1956;45;;
19591;95895;1952;22;;
19592;60734;1968;29;;
19593;7447;1928;0;;
19594;3912;1908;0;;
19595;100251;1924;17;;
19596;8342;1956;35;;
19597;63339;1920;33;;
19598;61373;1912;24;;
19599;89270;1924;20;;
19600;65180;1908;29;;
19601;40263;1924;24;;
19602;25735;1908;19;;
19603;71325;1956;23;;
19604;6435;1936;36;;
19605;52639;1924;29;;
19606;23727;1928;21;;
19607;5047;1920;25;;
19608;68994;1920;0;;
19609;100026;1920;0;;
19610;81361;1936;22;;
19611;4706;1932;50;;
19612;52262;1952;23;;
19613;74491;1948;0;;
19614;14809;1924;0;;
19615;89665;1920;0;;
19616;19357;2016;17;;
19617;87061;1988;20;165.0;54.0
19618;74787;1908;29;;
19619;55732;1952;29;;
19620;69945;1992;30;;
19621;79858;1952;30;;
19622;88889;1924;28;;
19623;61072;1952;0;;
19624;78321;1932;0;;
19625;3017;1928;21;;
19626;56851;1952;25;;
19627;72506;1996;21;;
19628;91190;1956;24;;
19629;21104;1976;19;;
19630;1043;1992;19;;
19631;88548;1956;28;;
19632;94180;1912;0;;
19633;53996;1908;38;;
19634;24922;1920;0;;
19635;55954;1952;26;;
19636;82725;1952;25;;
19637;93040;1924;36;;
19638;4241;1912;27;;
19639;12054;1956;0;;
19640;26573;1932;51;;
19641;37644;1936;25;;
19642;70835;1952;45;;
19643;4890;1952;34;;
19644;65040;1948;34;;
19645;58003;1936;26;;
19646;91053;1924;19;;
19647;51452;1996;0;;
19648;4235;1920;18;;
19649;43542;1948;17;;
19650;95339;1992;21;;
19651;83552;1924;45;;
19652;24920;1928;0;;
19653;4800;1952;28;;
19654;81268;1912;20;;
19655;2600;1952;24;;
19656;46916;1928;20;;
19657;57364;1924;19;;
19658;24808;1924;19;;
19659;24587;1952;29;;
19660;52943;1984;19;;
19661;69190;1908;48;;
19662;364;1952;24;;
19663;15956;1928;21;;
19664;14110;1928;41;;
19665;89171;1912;25;;
19666;51722;1904;30;;
19667;84670;1908;24;;
19668;33164;1952;23;;
19669;6033;1952;38;;
19670;58159;1960;26;;
19671;29913;1908;32;;
19672;67410;1956;46;;
19673;81152;1984;0;;
19674;22044;1952;20;;
19675;90943;1948;0;;
19676;7428;1920;0;;
19677;18403;1980;0;;
19678;94843;1936;19;;
19679;33276;1920;27;;
19680;8528;1936;20;;
19681;50754;1948;19;;
19682;59273;1952;27;;
19683;2609;1924;26;;
19684;68246;1948;22;;
19685;56491;1956;0;;
19686;49950;1956;0;;
19687;1857;1948;0;;
19688;40179;1948;20;;
19689;24163;1920;28;;
19690;34814;1912;23;;
19691;58514;1948;24;;
19692;24780;1920;0;;
19693;97023;1992;26;;
19694;94145;1952;27;;
19695;16467;1948;25;;
19696;25478;1928;20;;
19697;26621;1952;36;;
19698;59158;1936;23;;
19699;75744;1992;24;;
19700;74298;1992;30;;
19701;76838;1992;21;;
19702;51557;1920;40;;
19703;6457;1936;19;;
19704;38890;1924;20;;
19705;63684;1988;0;;
19706;13818;1996;25;;
19707;2962;1924;40;;
19708;14105;1920;25;;
19709;3937;1924;0;;
19710;71007;1952;20;;
19711;69012;1948;41;;
19712;991;1936;23;;
19713;85165;1948;0;;
19714;40061;1932;65;;
19715;86547;1952;21;;
19716;81469;1948;51;;
19717;61401;1912;20;;
19718;37407;1936;22;;
19719;33099;1948;0;;
19720;6376;1996;23;;
19721;78892;1920;43;;
19722;54638;1920;19;;
19723;51439;1928;0;;
19724;25606;1948;23;;
19725;22283;1912;27;;
19726;8218;1952;20;;
19727;10356;1912;21;;
19728;18184;1948;76;;
19729;36597;1912;21;;
19730;22559;1912;20;;
19731;27158;1928;26;;
19732;15618;1948;32;;
19733;51152;1936;23;;
19734;95130;1948;19;;
19735;7442;1920;30;;
19736;23931;1928;27;;
19737;39737;1956;34;;
19738;10974;1908;19;;
19739;20394;1924;26;;
19740;67140;1956;23;;
19741;28447;1996;16;;
19742;30945;1912;42;;
19743;13877;1948;25;;
19744;32830;1908;0;;
19745;19773;1932;21;;
19746;79360;1936;21;;
19747;3874;1936;25;;
19748;65530;1912;36;;
19749;85593;1924;54;;
19750;572;1976;19;;
19751;30290;1952;29;;
19752;54796;1928;21;;
19753;49762;1992;23;;
19754;82847;1948;22;;
19755;32887;1924;29;;
19756;59240;1936;18;;
19757;39390;1952;21;;
19758;36339;1992;20;;
19759;3154;1996;27;;
19760;14944;1928;52;;
19761;62158;1908;24;;
19762;42988;1960;16;;
19763;62707;1924;46;;
19764;18924;1948;0;;
19765;93356;1952;21;;
19766;15131;1920;38;;
19767;53267;1920;29;;
19768;39497;1956;36;;
19769;92534;1996;27;;
19770;43919;1912;18;;
19771;71065;1928;21;;
19772;31519;2016;18;;
19773;71897;1904;38;;
19774;2767;1992;19;;
19775;15037;1920;36;;
19776;45122;1968;23;;
19777;15227;1932;34;;
19778;64531;1936;31;;
19779;93246;1948;23;;
19780;38545;1920;0;;
19781;7455;1952;32;;
19782;85026;1928;0;;
19783;76726;1988;24;;
19784;91353;1948;23;;
19785;59877;1956;25;;
19786;63116;1924;36;;
19787;76060;1948;0;;
19788;47629;1996;33;;
19789;94027;1920;38;;
19790;34340;1948;0;;
19791;86607;1920;27;;
19792;62959;1996;27;;
19793;54593;1996;20;;
19794;81233;1924;29;;
19795;64038;1924;0;;
19796;9000;1952;26;;
19797;30594;1924;17;;
19798;22238;1952;26;;
19799;19162;1936;27;;
19800;52916;1952;28;;
19801;91736;1936;24;;
19802;87104;1948;21;;
19803;5486;1924;0;;
19804;69943;1936;29;;
19805;42931;1952;28;;
19806;82394;1992;21;;
19807;68338;1992;20;;
19808;46735;1952;32;;
19809;52965;1912;27;;
19810;6535;1920;34;;
19811;57150;1948;28;;
19812;24213;1988;20;;
19813;10082;1924;16;;
19814;84253;1952;18;;
19815;29413;1908;0;;
19816;47035;1952;24;;
19817;19487;1956;18;;
19818;77776;1924;21;;
19819;46752;1936;33;;
19820;17889;1928;24;;
19821;74187;1912;24;;
19822;83334;1912;0;;
19823;24992;1924;21;;
19824;85973;1924;20;;
19825;60667;1936;32;;
19826;31342;1956;20;;
19827;2951;1908;25;;
19828;1791;1932;22;;
19829;83200;1952;22;;
19830;12872;1928;23;;
19831;46398;1936;27;;
19832;81527;1936;33;;
19833;7824;1908;0;;
19834;49489;1912;19;;
19835;98503;1996;34;;
19836;46859;2012;36;;
19837;40897;1964;23;;
19838;40466;1972;20;;
19839;93878;2012;18;;
19840;66603;1908;27;;
19841;67058;1936;22;;
19842;91886;1936;27;;
19843;23693;1924;26;;
19844;21164;1992;27;;
19845;11173;1912;18;;
19846;68792;1908;23;;
19847;10410;1928;29;;
19848;71422;1952;32;;
19849;9370;1928;26;;
19850;39161;1924;0;;
19851;95171;1924;0;;
19852;16114;1912;0;;
19853;12547;1948;20;;
19854;61526;1936;45;;
19855;95018;1984;26;;
19856;5028;1952;22;;
19857;96329;1920;31;;
19858;24919;1936;31;;
19859;46653;1996;26;;
19860;39586;1992;22;162.0;57.0
19861;35213;1936;30;;
19862;93702;1924;20;;
19863;92532;1912;33;;
19864;23822;1952;31;;
19865;58794;1952;31;;
19866;3217;1928;0;;
19867;66751;1996;27;;
19868;50264;1996;30;;
19869;1715;1928;0;;
19870;26037;1908;20;;
19871;93877;1928;29;;
19872;53417;1992;22;;
19873;53355;1952;48;;
19874;78476;1928;41;;
19875;62263;1992;24;;
19876;74097;1924;35;;
19877;11620;1932;56;;
19878;8415;1928;0;;
19879;4507;1952;26;;
19880;30618;1908;37;;
19881;34740;1952;21;;
19882;41280;1928;27;;
19883;54402;1996;19;;
19884;95809;1972;21;;
19885;88361;1924;19;;
19886;18594;1948;28;;
19887;99736;1908;25;;
19888;5877;1948;0;;
19889;43542;1952;21;;
19890;10845;1936;25;;
19891;44002;2000;27;;
19892;89015;1936;31;;
19893;81836;1912;25;;
19894;83643;1952;27;;
19895;92754;1948;18;;
19896;55955;1920;29;;
19897;18900;1932;20;;
19898;91815;1956;25;;
19899;61272;1924;0;;
19900;45763;1936;21;;
19901;30286;1948;23;;
19902;67473;1948;25;;
19903;31285;1912;25;;
19904;4202;1920;29;;
19905;52707;1936;31;;
19906;40398;1952;23;;
19907;22675;1928;25;;
19908;72268;1936;30;;
19909;29841;1952;22;;
19910;50878;1948;18;;
19911;93252;1952;33;;
19912;63631;1956;0;;
19913;17691;1924;0;;
19914;69309;1948;0;;
19915;46617;1936;21;;
19916;8865;1936;23;;
19917;13481;1948;0;;
19918;35301;1936;20;;
19919;4850;1924;23;;
19920;24557;1956;28;;
19921;16451;1908;30;;
19922;25350;1992;29;;
19923;4429;1928;23;;
19924;48397;1936;43;;
19925;87209;1904;0;;
19926;11206;1948;24;;
19927;54037;1920;25;;
19928;24566;1912;27;;
19929;40583;1996;21;;
19930;51972;1952;17;;
19931;96832;1956;27;;
19932;69018;1936;17;;
19933;50835;1928;22;;
19934;90472;1908;24;;
19935;68950;1992;25;;
19936;59885;1936;0;;
19937;78069;1908;21;;
19938;89626;1996;0;;
19939;100154;1952;26;;
19940;93382;1992;19;;
19941;3725;1912;19;;
19942;17340;2004;36;;
19943;5595;1936;24;;
19944;15480;1928;28;;
