2012;2012
1936;1936
1988;1988
1964;1964
1960;1960
1992;1992
1904;1904
2008;2008
1920;1920
1976;1976
1972;1972
1928;1928
1924;1924
1912;1912
2004;2004
1968;1968
1996;1996
2000;2000
1952;1952
1980;1980
1948;1948
1956;1956
1932;1932
1908;1908
1984;1984
2016;2016
