129;Athletics Men's Standing Triple Jump;10
130;Art Competitions Mixed Music;48
131;Shooting Men's Running Target, Single Shot;7
132;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;7
133;Art Competitions Mixed Music, Unknown Event;48
134;Diving Women's Synchronized Platform;44
135;Shooting Men's Running Target, 10 metres;7
136;Cycling Women's Team Sprint;40
137;Shooting Men's Free Rifle, 1,000 Yards;7
138;Shooting Men's Small-Bore Rifle, Moving Target, 25 yards;7
139;Rhythmic Gymnastics Women's Individual;28
140;Judo Women's Lightweight;8
141;Art Competitions Mixed Literature, Epic Works;48
142;Gymnastics Men's Tumbling;4
143;Shooting Men's Air Pistol, 10 metres;7
144;Athletics Women's 1,500 metres;10
145;Swimming Men's 200 metres Freestyle;34
146;Weightlifting Women's Heavyweight;27
147;Cycling Men's Road Race, Individual;40
148;Shooting Women's Air Pistol, 10 metres;7
149;Swimming Men's 1,500 metres Freestyle;34
150;Athletics Men's 3,000 metres Walk;10
151;Art Competitions Mixed Unknown Event;48
152;Tennis Women's Singles;16
153;Rugby Sevens Men's Rugby Sevens;42
154;Canoeing Men's Canadian Singles, 500 metres;11
155;Judo Men's Extra-Lightweight;8
156;Art Competitions Mixed Sculpturing, Unknown Event;48
157;Fencing Men's Sabre, Team;41
158;Wrestling Men's Lightweight, Freestyle;5
159;Racquets Men's Singles;43
160;Athletics Men's High Jump;10
161;Athletics Men's 4 x 100 metres Relay;10
162;Swimming Men's 400 metres Individual Medley;34
163;Wrestling Men's Welterweight, Freestyle;5
164;Wrestling Men's Middleweight, Freestyle;5
165;Cycling Men's Individual Time Trial;40
166;Wrestling Women's Flyweight, Freestyle;5
167;Athletics Men's Pentathlon;10
168;Sailing Men's One Person Dinghy;15
169;Athletics Men's 4 x 400 metres Relay;10
170;Cycling Women's Road Race, Individual;40
171;Figure Skating Men's Special Figures;35
172;Sailing Mixed Skiff;15
173;Rowing Men's Coxed Fours, Inriggers;19
174;Gymnastics Women's Individual All-Around;4
175;Athletics Men's Javelin Throw;10
176;Cycling Men's Individual Pursuit, 4,000 metres;40
177;Motorboating Mixed C-Class;13
178;Canoeing Men's Kayak Singles, 10,000 metres;11
179;Shooting Mixed Rapid-Fire Pistol, 25 metres;7
180;Athletics Women's Pole Vault;10
181;Swimming Men's 200 metres Backstroke;34
182;Archery Men's Pole Archery, Large Birds, Individual;1
183;Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team;7
184;Gymnastics Women's Uneven Bars;4
185;Canoeing Men's Kayak Singles, Slalom;11
186;Canoeing Women's Kayak Singles, 200 metres;11
187;Football Men's Football;9
188;Rowing Men's Single Sculls;19
189;Art Competitions Mixed Music, Compositions For Solo Or Chorus;48
190;Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team;7
191;Athletics Women's 5,000 metres;10
192;Shooting Men's Free Rifle, Prone, 600 metres;7
193;Weightlifting Men's Bantamweight;27
194;Athletics Men's 3 mile, Team;10
195;Swimming Women's 4 x 100 metres Freestyle Relay;34
196;Canoeing Men's Folding Kayak Singles, 10 kilometres;11
197;Gymnastics Women's Team Portable Apparatus;4
198;Badminton Women's Doubles;26
199;Fencing Women's Foil, Team;41
200;Hockey Women's Hockey;18
201;Gymnastics Men's Parallel Bars;4
202;Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team;7
203;Cycling Men's 5 mile;40
204;Wrestling Men's Bantamweight, Greco-Roman;5
205;Cycling Men's 25 mile;40
206;Fencing Men's epee, Individual;41
207;Boxing Men's Heavyweight;39
208;Athletics Men's Pole Vault;10
209;Canoeing Men's Kayak Doubles, 10,000 metres;11
210;Cycling Men's Keirin;40
211;Judo Men's Lightweight;8
212;Equestrianism Men's Three-Day Event, Team;24
213;Triathlon Women's Olympic Distance;45
214;Taekwondo Women's Heavyweight;6
215;Table Tennis Men's Singles;12
217;Shooting Men's Military Rifle, Prone, 600 metres;7
218;Ice Hockey Men's Ice Hockey;46
219;Shooting Men's Running Target, Double Shot, Team;7
220;Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team;7
221;Swimming Men's 10 kilometres Open Water;34
222;Sailing Mixed 6 metres;15
223;Canoeing Men's Canadian Singles, 10,000 metres;11
224;Equestrianism Mixed Three-Day Event, Team;24
225;Athletics Men's 4 mile, Team;10
226;Wrestling Women's Featherweight, Freestyle;5
227;Canoeing Men's Canadian Doubles, 500 metres;11
228;Sailing Men's Skiff;15
229;Archery Women's Double National Round;1
230;Athletics Women's 4 x 400 metres Relay;10
231;Athletics Men's 56-pound Weight Throw;10
232;Weightlifting Women's Featherweight;27
233;Fencing Men's Foil, Team;41
234;Athletics Men's 20 kilometres Walk;10
235;Sailing Women's Windsurfer;15
236;Motorboating Mixed B-Class (Under 60 Feet);13
237;Sailing Mixed 30 metres;15
238;Cycling Women's Individual Pursuit, 3,000 metres;40
239;Art Competitions Mixed Music, Compositions For Orchestra;48
240;Gymnastics Men's Side Horse;4
241;Canoeing Men's Canadian Doubles, 10,000 metres;11
242;Archery Men's Team Round;1
243;Archery Men's Double York Round;1
244;Cycling Men's 1/4 mile;40
245;Wrestling Men's Flyweight, Freestyle;5
246;Judo Women's Middleweight;8
247;Athletics Women's High Jump;10
248;Taekwondo Women's Flyweight;6
249;Athletics Men's 3,000 metres, Team;10
250;Sailing Mixed 40 metres;15
251;Gymnastics Women's Balance Beam;4
252;Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team;7
253;Tennis Men's Doubles;16
254;Weightlifting Men's Unlimited, Two Hands;27
255;Sailing Mixed Multihull;15
256;Gymnastics Men's Team All-Around;4
257;Gymnastics Women's Team All-Around;4
258;Athletics Men's Cross-Country, Team;10
259;Swimming Men's 200 metres Breaststroke;34
260;Weightlifting Men's Flyweight;27
261;Swimming Women's 200 metres Individual Medley;34
262;Athletics Women's 200 metres;10
263;Fencing Men's epee, Team;41
264;Archery Men's Double American Round;1
265;Cycling Men's 100 kilometres Team Time Trial;40
266;Rowing Men's Coxed Fours, Outriggers;19
267;Archery Men's Target Archery, 33 metres, Team;1
268;Swimming Men's 100 metres Breaststroke;34
269;Wrestling Men's Heavyweight, Freestyle;5
270;Athletics Women's 80 metres Hurdles;10
271;Cycling Men's Tandem Sprint, 2,000 metres;40
272;Swimming Men's 400 metres Breaststroke;34
273;Gymnastics Men's Individual All-Around, Field Sports;4
274;Weightlifting Men's Lightweight;27
